Put Gamma,Put Vega,Put Theta,Put Delta,PCR,Put POP %,Put Volume,Put OI Change,Put Change %,Put OI,Put Bid Price,Put Offer Price,Put Intrinsic Value(Fut),Put Intrinsic Value(Spot),Put Time Value,Put LTP,Strike,IV,Instrument,Call LTP,Call Time Value,Call Intrinsic Value(Spot),Call Intrinsic Value(Fut),Call Bid Price,Call Offer Price,Call OI,Call Change %,Call OI Change,Call Volume,Call POP %,Call Delta,Call Theta,Call Vega,Call Gamma
0.00010,0.50,-2.87,-0.99,0,1,12975.00,-675.00,-1.40,47325.00,1126.55,1134.45,1128.70,1132.10,-15.95,1112.75,26000,24.70,NIFTY,1.55,1.55,--,--,1.50,1.55,8683350.00,-8.60,-815850.00,22662900.00,0,0.01,-2.87,0.50,0.00010
0.00010,0.46,-2.74,-0.99,--,0,--,--,--,900.00,1147.50,1200.50,1178.70,1182.10,187.45,1366.15,26050,25.40,NIFTY,1.45,1.45,--,--,1.40,1.45,1603875.00,7.70,114750.00,4256700.00,0,0.01,-2.74,0.46,0.00010
--,0.44,-2.68,-0.99,--,0,900.00,-375.00,-9.30,3675.00,1218.85,1233.65,1228.70,1232.10,24.45,1253.15,26100,26.20,NIFTY,1.40,1.40,--,--,1.35,1.40,3012675.00,3.60,105375.00,6890925.00,0,0.01,-2.68,0.44,--
--,0.41,-2.54,-0.99,--,1,--,--,--,375.00,1241.85,1298.40,1278.70,1282.10,-73.90,1204.80,26150,26.90,NIFTY,1.30,1.30,--,--,1.30,1.35,783900.00,21.80,140400.00,2867775.00,0,0.01,-2.54,0.41,--
--,0.38,-2.48,-0.99,--,1,--,--,--,3450.00,1294.95,1347.05,1328.70,1332.10,-93.40,1235.30,26200,27.70,NIFTY,1.25,1.25,--,--,1.20,1.25,2744325.00,8.30,210750.00,5866350.00,0,0.01,-2.48,0.38,--
--,0.38,-2.49,-0.99,--,1,--,--,--,1650.00,1347.95,1401.40,1378.70,1382.10,-94.25,1284.45,26250,28.50,NIFTY,1.25,1.25,--,--,1.20,1.25,673650.00,12.20,73050.00,2178900.00,0,0.01,-2.49,0.38,--
--,0.36,-2.42,-0.99,--,0,--,--,--,1275.00,1393.55,1446.50,1428.70,1432.10,185.90,1614.60,26300,29.30,NIFTY,1.20,1.20,--,--,1.15,1.20,1809375.00,4.80,82425.00,3847425.00,0,0.01,-2.42,0.36,--
--,0.34,-2.35,-0.99,--,0,--,--,--,1275.00,1443.35,1502.05,1478.70,1482.10,186.35,1665.05,26350,30.00,NIFTY,1.15,1.15,--,--,1.15,1.20,428475.00,-3.70,-16500.00,2063100.00,0,0.01,-2.35,0.34,--
--,0.32,-2.28,-0.99,--,0,--,--,--,1350.00,1479.50,1563.95,1528.70,1532.10,303.75,1832.45,26400,30.70,NIFTY,1.10,1.10,--,--,1.05,1.10,1860750.00,6.00,105450.00,5526675.00,0,0.01,-2.28,0.32,--
--,0.31,-2.29,-0.99,--,0,--,--,--,600.00,1522.80,1606.10,1578.70,1582.10,306.25,1884.95,26450,31.60,NIFTY,1.10,1.10,--,--,1.05,1.10,654600.00,12.70,73650.00,2073450.00,0,0.01,-2.29,0.31,--
--,0.30,-2.22,-0.99,--,0,--,--,--,4500.00,1572.45,1662.55,1628.70,1632.10,275.00,1903.70,26500,32.30,NIFTY,1.05,1.05,--,--,1.00,1.05,3841950.00,-4.30,-171300.00,10392300.00,0,0.01,-2.22,0.30,--
--,0.29,-2.23,-0.99,--,0,--,--,--,600.00,1620.80,1719.25,1678.70,1682.10,181.70,1860.40,26550,33.10,NIFTY,1.05,1.05,--,--,1.00,1.05,645600.00,5.60,34500.00,1185150.00,0,0.01,-2.23,0.29,--
--,0.28,-2.24,-0.99,--,1,--,--,--,525.00,1687.10,1750.15,1728.70,1732.10,-51.30,1677.40,26600,34.00,NIFTY,1.05,1.05,--,--,1.00,1.05,753075.00,16.70,108000.00,2250600.00,0,0.01,-2.24,0.28,--
--,0.28,-2.25,-0.99,--,0,--,--,--,525.00,1727.05,1811.60,1778.70,1782.10,117.15,1895.85,26650,34.80,NIFTY,1.05,1.05,--,--,1.00,1.05,462150.00,-1.60,-7575.00,1364700.00,0,0.01,-2.25,0.28,--
--,0.25,-2.08,--,--,0,--,--,--,600.00,1786.85,1859.05,1828.70,1832.10,11.30,1840.00,26700,35.30,NIFTY,0.95,0.95,--,--,0.95,1.05,1132650.00,4.10,44550.00,1963350.00,--,--,-2.08,0.25,--
--,0.25,-2.09,--,--,1,--,--,--,1050.00,1829.90,1917.55,1878.70,1882.10,-60.55,1818.15,26750,36.10,NIFTY,0.95,0.95,--,--,0.95,1.00,523650.00,0.10,675.00,1143600.00,--,--,-2.09,0.25,--
--,0.25,-2.19,--,--,1,--,--,--,5475.00,1869.40,1951.70,1928.70,1932.10,-34.15,1894.55,26800,37.10,NIFTY,1.00,1.00,--,--,0.95,1.00,4169775.00,-1.90,-80100.00,5866425.00,--,--,-2.19,0.25,--
--,0.24,-2.11,--,--,1,--,--,--,225.00,1957.35,2013.65,1978.70,1982.10,-56.45,1922.25,26850,37.70,NIFTY,0.95,0.95,--,--,0.90,1.00,2057550.00,1.80,35925.00,2027025.00,--,--,-2.11,0.24,--
